key,value
"(153, 2)",0.00021585318429160897
"(153, 3)",0.00018085318429160896
"(154, 1)",0.0002510110279162458
"(154, 2)",0.0002160110279162458
"(154, 3)",0.00018101102791624578
"(155, 1)",0.0002511818856338285
"(155, 2)",0.0002161818856338285
"(155, 3)",0.0001811818856338285
"(156, 1)",0.000251365640347012
"(156, 2)",0.000216365640347012
"(156, 3)",0.00018136564034701197
"(157, 1)",0.0002515621661194946
"(157, 2)",0.0002165621661194946
"(157, 3)",0.0001815621661194946
"(158, 1)",0.0002517713282623286
"(158, 2)",0.00021677132826232858
"(158, 3)",0.00018177132826232857
"(159, 1)",0.00025199298342622905
"(159, 2)",0.00021699298342622907
"(159, 3)",0.00018199298342622906
"(160, 1)",0.00025222697969981865
"(160, 2)",0.00021722697969981866
"(160, 3)",0.00018222697969981865
"(161, 1)",0.0002524731567137398
"(161, 2)",0.00021747315671373984
"(161, 3)",0.00018247315671373983
"(162, 1)",0.00025273134575056405
"(162, 2)",0.00021773134575056406
"(162, 3)",0.00018273134575056405
"(163, 1)",0.00025300136986042233
"(163, 2)",0.00021800136986042235
"(163, 3)",0.00018300136986042234
"(164, 1)",0.0002532830439822777
"(164, 2)",0.00021828304398227772
"(164, 3)",0.00018328304398227774
"(165, 1)",0.0002535761750707571
"(165, 2)",0.0002185761750707571
"(165, 3)",0.0001835761750707571
"(166, 1)",0.0002538805622284546
"(166, 2)",0.00021888056222845462
"(166, 3)",0.0001838805622284546
"(167, 1)",0.00025419599684361685
"(167, 2)",0.00021919599684361687
"(167, 3)",0.00018419599684361686
"(168, 1)",0.0002545222627331149
"(168, 2)",0.00021952226273311493
"(168, 3)",0.00018452226273311492
"(169, 1)",0.00025485913629060545
"(169, 2)",0.00021985913629060547
"(169, 3)",0.00018485913629060546
"(170, 1)",0.00025520638663977945
"(170, 2)",0.00022020638663977944
"(170, 3)",0.00018520638663977943
"(171, 1)",0.000255563775792593
"(171, 2)",0.000220563775792593
"(171, 3)",0.00018556377579259298
"(172, 1)",0.0002559310588123728
"(172, 2)",0.00022093105881237283
"(172, 3)",0.00018593105881237282
"(173, 1)",0.00025630798398168335
"(173, 2)",0.0002213079839816834
"(173, 3)",0.00018630798398168338
"(174, 1)",0.0002566942929748414
"(174, 2)",0.00022169429297484144
"(174, 3)",0.00018669429297484143
"(175, 1)",0.0002570897210349596
"(175, 2)",0.00022208972103495962
"(175, 3)",0.00018708972103495961
"(176, 1)",0.0002574939971553976
"(176, 2)",0.00022249399715539763
"(176, 3)",0.00018749399715539762
"(177, 1)",0.0002579068442654965
"(177, 2)",0.00022290684426549655
"(177, 3)",0.00018790684426549654
"(178, 1)",0.0002583279794204693
"(178, 2)",0.00022332797942046929
"(178, 3)",0.00018832797942046928
"(179, 1)",0.00025875711399531674
"(179, 2)",0.00022375711399531679
"(179, 3)",0.00018875711399531678
"(180, 1)",0.0002591939538826372
"(180, 2)",0.0002241939538826372
"(180, 3)",0.0001891939538826372
"(181, 1)",0.0002596381996941924
"(181, 2)",0.00022463819969419246
"(181, 3)",0.00018963819969419245
"(182, 1)",0.0002600895469660938
"(182, 2)",0.0002250895469660938
"(182, 3)",0.00019008954696609378
"(183, 1)",0.0002605476863674664
"(183, 2)",0.0002255476863674664
"(183, 3)",0.0001905476863674664
"(184, 1)",0.00026101230391244916
"(184, 2)",0.00022601230391244915
"(184, 3)",0.00019101230391244914
"(185, 1)",0.00026148308117538484
"(185, 2)",0.0002264830811753849
"(185, 3)",0.00019148308117538488
"(186, 1)",0.0002619596955090534
"(186, 2)",0.00022695969550905342
"(186, 3)",0.0001919596955090534
"(187, 1)",0.00026244182026579786
"(187, 2)",0.00022744182026579788
"(187, 3)",0.00019244182026579787
"(188, 1)",0.0002629291250213926
"(188, 2)",0.00022792912502139263
"(188, 3)",0.00019292912502139265
"(189, 1)",0.00026342127580149965
"(189, 2)",0.00022842127580149967
"(189, 3)",0.00019342127580149966
"(190, 1)",0.00026391793531055775
"(190, 2)",0.00022891793531055774
"(190, 3)",0.00019391793531055773
"(191, 1)",0.000264418763162948
"(191, 2)",0.00022941876316294804
"(191, 3)",0.00019441876316294803
"(192, 1)",0.0002649234161162774
"(192, 2)",0.00022992341611627746
"(192, 3)",0.00019492341611627745
"(193, 1)",0.0002654315483066197
"(193, 2)",0.00023043154830661974
"(193, 3)",0.00019543154830661973
"(194, 1)",0.0002659428114855534
"(194, 2)",0.00023094281148555344
"(194, 3)",0.00019594281148555342
"(195, 1)",0.0002664568552588338
"(195, 2)",0.00023145685525883383
"(195, 3)",0.00019645685525883382
"(196, 1)",0.00026697332732653577
"(196, 2)",0.00023197332732653579
"(196, 3)",0.00019697332732653578
"(197, 1)",0.0002674918737245025
"(197, 2)",0.00023249187372450248
"(197, 3)",0.00019749187372450247
"(198, 1)",0.00026801213906693465
"(198, 2)",0.0002330121390669347
"(198, 3)",0.00019801213906693469
"(199, 1)",0.00026853376678995456
"(199, 2)",0.00023353376678995457
"(199, 3)",0.00019853376678995456
"(200, 1)",0.00026905639939597657
"(200, 2)",0.00023405639939597662
"(200, 3)",0.0001990563993959766
"(201, 1)",0.00026957967869871874
"(201, 2)",0.00023457967869871876
"(201, 3)",0.00019957967869871875
"(202, 1)",0.00027010324606868523
"(202, 2)",0.00023510324606868525
"(202, 3)",0.00020010324606868524
"(203, 1)",0.00027062674267895354
"(203, 2)",0.00023562674267895356
"(203, 3)",0.00020062674267895355
"(204, 1)",0.0002711498097510962
"(204, 2)",0.0002361498097510962
"(204, 3)",0.0002011498097510962
"(205, 1)",0.0002716720888010697
"(205, 2)",0.00023667208880106971
"(205, 3)",0.0002016720888010697
"(206, 1)",0.0002721932218849017
"(206, 2)",0.00023719322188490166
"(206, 3)",0.00020219322188490165
"(207, 1)",0.0002727128518440076
