metric,mode,method,count,mean,std,min,median,max
J_perm,success_only,KINO,810,0.0,0.0,0.0,0.0,0.0
J_perm,success_only,Full,810,0.0,0.0,0.0,0.0,0.0
J_dyn,all_runs,RF,0,,0.0,,,
J_dyn,all_runs,HCS-i,0,,0.0,,,
J_dyn,all_runs,OEAC-i,0,,0.0,,,
J_dyn,all_runs,KINO,810,0.0,0.0,0.0,0.0,0.0
J_dyn,all_runs,Full,810,7.766978666356452e-10,1.858706994369476e-08,-2.236027568896039e-07,0.0,9.999815074120474e-08
J_dyn,success_only,RF,0,,0.0,,,
J_dyn,success_only,HCS-i,0,,0.0,,,
J_dyn,success_only,OEAC-i,0,,0.0,,,
J_dyn,success_only,KINO,810,0.0,0.0,0.0,0.0,0.0
J_dyn,success_only,Full,810,7.766978666356452e-10,1.858706994369476e-08,-2.236027568896039e-07,0.0,9.999815074120474e-08
J_eco,all_runs,RF,0,,0.0,,,
J_eco,all_runs,HCS-i,0,,0.0,,,
J_eco,all_runs,OEAC-i,0,,0.0,,,
J_eco,all_runs,KINO,810,-8880.088656068297,151.88996271450804,-9143.913170858637,-8839.168897644086,-8680.756106743429
J_eco,all_runs,Full,810,-8876.69697338719,151.58443760387445,-9140.819636608654,-8832.339309936506,-8679.759702491881
J_eco,success_only,RF,0,,0.0,,,
J_eco,success_only,HCS-i,0,,0.0,,,
J_eco,success_only,OEAC-i,0,,0.0,,,
J_eco,success_only,KINO,810,-8880.088656068297,151.88996271450804,-9143.913170858637,-8839.168897644086,-8680.756106743429
J_eco,success_only,Full,810,-8876.69697338719,151.58443760387445,-9140.819636608654,-8832.339309936506,-8679.759702491881
fuel_kg,all_runs,RF,810,0.11050424282309801,0.001588749667927758,0.1081474999999996,0.11047300377940522,0.11654109063888539
fuel_kg,all_runs,HCS-i,414,0.09800087084063307,0.0022193628614372842,0.0914049999999998,0.09796624999999973,0.10452749999999965
fuel_kg,all_runs,OEAC-i,723,0.10154250952221734,0.0009450244338465503,0.09931482487085741,0.10167425845517626,0.10347393834402616
fuel_kg,all_runs,KINO,810,0.10845380476361971,0.0011623432815122889,0.10462036580255907,0.1085999999999996,0.11132773531625223
