

===== RUN WITH C:\Users\mhasa42\AppData\Local\anaconda3\envs\raiselab\python.exe =====
Realistic SUMO replay step 104/240: k=104   t=104.0s   ego lane=3   v=10.0 m/s   next NS 1: stop/yield control, distance=-20.0 m
Realistic SUMO replay step 105/240: k=105   t=105.0s   ego lane=3   v=11.5 m/s   next SIG 2: RED, not safe-to-clear, distance=511.0 m
Realistic SUMO replay step 106/240: k=106   t=106.0s   ego lane=3   v=12.1 m/s   next SIG 2: RED, not safe-to-clear, distance=499.5 m
Realistic SUMO replay step 107/240: k=107   t=107.0s   ego lane=3   v=12.1 m/s   next SIG 2: RED, not safe-to-clear, distance=487.4 m
Realistic SUMO replay step 108/240: k=108   t=108.0s   ego lane=3   v=12.1 m/s   next SIG 2: RED, not safe-to-clear, distance=475.3 m
Realistic SUMO replay step 109/240: k=109   t=109.0s   ego lane=3   v=12.0 m/s   next SIG 2: RED, not safe-to-clear, distance=463.2 m
Realistic SUMO replay step 110/240: k=110   t=110.0s   ego lane=3   v=12.0 m/s   next SIG 2: RED, not safe-to-clear, distance=451.2 m
Realistic SUMO replay step 111/240: k=111   t=111.0s   ego lane=3   v=12.0 m/s   next SIG 2: RED, not safe-to-clear, distance=439.2 m
Realistic SUMO replay step 112/240: k=112   t=112.0s   ego lane=3   v=12.0 m/s   next SIG 2: RED, not safe-to-clear, distance=427.2 m
Realistic SUMO replay step 113/240: k=113   t=113.0s   ego lane=3   v=11.9 m/s   next SIG 2: RED, not safe-to-clear, distance=415.2 m
Realistic SUMO replay step 114/240: k=114   t=114.0s   ego lane=3   v=11.9 m/s   next SIG 2: RED, not safe-to-clear, distance=403.3 m
Realistic SUMO replay step 115/240: k=115   t=115.0s   ego lane=3   v=11.9 m/s   next SIG 2: RED, not safe-to-clear, distance=391.4 m
Realistic SUMO replay step 116/240: k=116   t=116.0s   ego lane=3   v=11.8 m/s   next SIG 2: RED, not safe-to-clear, distance=379.5 m
Realistic SUMO replay step 117/240: k=117   t=117.0s   ego lane=3   v=11.8 m/s   next SIG 2: RED, not safe-to-clear, distance=367.7 m
Realistic SUMO replay step 118/240: k=118   t=118.0s   ego lane=3   v=11.8 m/s   next SIG 2: RED, not safe-to-clear, distance=355.9 m
Realistic SUMO replay step 119/240: k=119   t=119.0s   ego lane=3   v=11.8 m/s   next SIG 2: RED, not safe-to-clear, distance=344.1 m
Realistic SUMO replay step 120/240: k=120   t=120.0s   ego lane=3   v=11.8 m/s   next SIG 2: RED, not safe-to-clear, distance=332.3 m
Realistic SUMO replay step 121/240: k=121   t=121.0s   ego lane=3   v=11.7 m/s   next SIG 2: RED, not safe-to-clear, distance=320.5 m
Realistic SUMO replay step 122/240: k=122   t=122.0s   ego lane=3   v=11.7 m/s   next SIG 2: RED, not safe-to-clear, distance=308.8 m
Realistic SUMO replay step 123/240: k=123   t=123.0s   ego lane=3   v=11.7 m/s   next SIG 2: RED, not safe-to-clear, distance=297.1 m
Realistic SUMO replay step 124/240: k=124   t=124.0s   ego lane=3   v=11.7 m/s   next SIG 2: RED, not safe-to-clear, distance=285.4 m
Realistic SUMO replay step 125/240: k=125   t=125.0s   ego lane=3   v=11.7 m/s   next SIG 2: RED, not safe-to-clear, distance=273.7 m
Realistic SUMO replay step 126/240: k=126   t=126.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=262.1 m
Realistic SUMO replay step 127/240: k=127   t=127.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=250.4 m
Realistic SUMO replay step 128/240: k=128   t=128.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=238.8 m
Realistic SUMO replay step 129/240: k=129   t=129.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=227.2 m
Realistic SUMO replay step 130/240: k=130   t=130.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=215.5 m
Realistic SUMO replay step 131/240: k=131   t=131.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=204.0 m
Realistic SUMO replay step 132/240: k=132   t=132.0s   ego lane=3   v=11.6 m/s   next SIG 2: RED, not safe-to-clear, distance=192.4 m
Realistic SUMO replay step 133/240: k=133   t=133.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=180.8 m
Realistic SUMO replay step 134/240: k=134   t=134.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=169.2 m
Realistic SUMO replay step 135/240: k=135   t=135.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=157.6 m
Realistic SUMO replay step 136/240: k=136   t=136.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=146.1 m
Realistic SUMO replay step 137/240: k=137   t=137.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=134.5 m
Realistic SUMO replay step 138/240: k=138   t=138.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=123.0 m
Realistic SUMO replay step 139/240: k=139   t=139.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=111.4 m
Realistic SUMO replay step 140/240: k=140   t=140.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=99.8 m
Realistic SUMO replay step 141/240: k=141   t=141.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=88.3 m
Realistic SUMO replay step 142/240: k=142   t=142.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=76.7 m
Realistic SUMO replay step 143/240: k=143   t=143.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=65.1 m
Realistic SUMO replay step 144/240: k=144   t=144.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=53.5 m
Realistic SUMO replay step 145/240: k=145   t=145.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=42.0 m
Realistic SUMO replay step 146/240: k=146   t=146.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=30.4 m
Realistic SUMO replay step 147/240: k=147   t=147.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=18.7 m
Realistic SUMO replay step 148/240: k=148   t=148.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=7.1 m
Realistic SUMO replay step 149/240: k=149   t=149.0s   ego lane=3   v=11.6 m/s   next SIG 2: GREEN, safe-to-clear, distance=-4.5 m
Realistic SUMO replay step 150/240: k=150   t=150.0s   ego lane=3   v=11.7 m/s   next SIG 2: GREEN, safe-to-clear, distance=-16.1 m
Realistic SUMO replay step 151/240: k=151   t=151.0s   ego lane=3   v=11.7 m/s   next event: none
Realistic SUMO replay step 152/240: k=152   t=152.0s   ego lane=3   v=11.7 m/s   next event: none
Realistic SUMO replay step 153/240: k=153   t=153.0s   ego lane=3   v=11.7 m/s   next event: none
Realistic SUMO replay step 154/240: k=154   t=154.0s   ego lane=3   v=11.7 m/s   next event: none
Realistic SUMO replay step 155/240: k=155   t=155.0s   ego lane=3   v=11.7 m/s   next event: none
Realistic SUMO replay step 156/240: k=156   t=156.0s   ego lane=3   v=11.8 m/s   next event: none
Realistic SUMO replay step 157/240: k=157   t=157.0s   ego lane=3   v=11.8 m/s   next event: none
Realistic SUMO replay step 158/240: k=158   t=158.0s   ego lane=3   v=11.8 m/s   next event: none
Realistic SUMO replay step 159/240: k=159   t=159.0s   ego lane=3   v=11.8 m/s   next event: none
Realistic SUMO replay step 160/240: k=160   t=160.0s   ego lane=3   v=11.9 m/s   next event: none
Realistic SUMO replay step 161/240: k=161   t=161.0s   ego lane=3   v=11.9 m/s   next event: none
Realistic SUMO replay step 162/240: k=162   t=162.0s   ego lane=3   v=11.9 m/s   next event: none
Realistic SUMO replay step 163/240: k=163   t=163.0s   ego lane=3   v=11.9 m/s   next event: none
Realistic SUMO replay step 164/240: k=164   t=164.0s   ego lane=3   v=12.0 m/s   next event: none
Realistic SUMO replay step 165/240: k=165   t=165.0s   ego lane=3   v=12.0 m/s   next event: none
Realistic SUMO replay step 166/240: k=166   t=166.0s   ego lane=3   v=12.0 m/s   next event: none
Realistic SUMO replay step 167/240: k=167   t=167.0s   ego lane=3   v=12.0 m/s   next event: none
Realistic SUMO replay step 168/240: k=168   t=168.0s   ego lane=3   v=12.1 m/s   next event: none
Realistic SUMO replay step 169/240: k=169   t=169.0s   ego lane=3   v=12.1 m/s   next event: none
